Unnamed: 0,title,ingredients,instructions,image_url,url,ingredients_clear,new_clear
10,Творожные палочки,"200 г творога (5–15%)
-200 г сыра (твердого)
-2 яйца
-зелень по вкусу
-2 зубчика чеснока
-панировочные сухари
-растительное масло","Сыр натереть на мелкой терке.
Зелень мелко нарезать.
Смешать творог и яйца.
Добавить сыр.
Перемешать.
Добавить зелень, выдавленный через чеснокодавку чеснок.
Перемешать.
Если масса получилась слишком жидкая, добавьте немного муки.
Из получившейся массы вылепить палочки.
Обвалять их в панировочных сухарях.
Масло разогреть.
Выложить палочки.
Жарить до золотистого цвета.
Перевернуть.
Пожарить с другой стороны.
Приятного аппетита!",https://ist.say7.info/img0000/30/30_01802pe_5967_6hi.jpg,https://www.say7.info/cook/recipe/30.html,"['твёрдый', 'по', 'растительный', 'яйцо', 'творог', 'чеснок', 'зубчик', 'сыр', 'панировочный', 'вкус', 'масло', 'сухарь', 'зелень']","['яйцо', 'зубчик', 'зелень', 'растительный', 'вкус', 'сыр', 'сухарь', 'масло', 'творог', 'чеснок', 'панировочный', 'по', 'твёрдый']"
11,Рыба «Мечта»,"500 г филе любой рыбы (у меня судак)
-150 г сыра
-300 г помидоров
-5 ст.л. томатной пасты или кетчупа
-3 зубчика чеснока
-зелень по вкусу
-соль
-перец","Рыбу нарезать небольшими кусочками.
Помидоры нарезать тонкими кружочками.
Чеснок мелко порубить.
Сыр натереть на крупной терке.
Зелень мелко нарезать.
На дно формы выложить филе.
Посолить, поперчить.
На филе выложить помидоры.
На помидоры выложить чеснок.
Посолить, поперчить.
Смазать кетчупом.
Посыпать сыром.
Поставить в духовку.
Запекать при температуре 180 градусов в течение 35–40 минут.
Готовое блюдо посыпать зеленью.
Приятного аппетита!",https://ist.say7.info/img0000/31/31_0149y1k_7703_6hi.jpg,https://www.say7.info/cook/recipe/31.html,"['томатный', 'судак', 'по', 'зелень', 'помидор', 'я', 'чеснок', 'филе', 'паста', 'зубчик', 'сыр', 'кетчуп', 'вкус', 'или', 'рыба', 'любой']","['зубчик', 'зелень', 'или', 'вкус', 'любой', 'сыр', 'я', 'кетчуп', 'филе', 'рыба', 'судак', 'паста', 'чеснок', 'по', 'помидор', 'томатный']"
12,Слойки «Спиральки»,"500 г слоеного теста
-450 г болгарского перца (желательно разного по цвету)
-200 г ветчины
-200 г сыра
-2 желтка
-соль","Ветчину нарезать кубиками.
Сыр нарезать кубиками.
Перец очистить от семян.
Нарезать кубиками.
Смешать ветчину, сыр, перец.
Добавить желтки (сырые).
Посолить.
Перемешать.
Тесто раскатать в прямоугольник (толщиной около 3–4 мм).
Выложить начинку.
Разровнять.
Свернуть в рулет.
Края защипнуть.
Противень смазать маслом или застелить бумагой для выпечки.
Выложить рулет.
Поставить в разогретую до 180 градусов духовку.
Выпекать в течение 30–35 минут.
Я использую готовое покупное тесто, но если вы хотите приготовить его самостоятельно, это можно сделать по рецептам с форума: «
Рецепты слоеного теста
».
Приятного аппетита!",https://ist.say7.info/img0000/32/32_0153hjd_4123_6hi.jpg,https://www.say7.info/cook/recipe/32.html,"['слоёный', 'ветчина', 'желательно', 'перец', 'тест', 'разный', 'желток', 'сыр', 'болгарский', 'по', 'цвет']","['слоёный', 'болгарский', 'сыр', 'перец', 'цвет', 'желток', 'разный', 'по', 'ветчина', 'тест', 'желательно']"
13,Салат «Царь Китая»,"200 г куриного филе
-350 г болгарского перца
-250 г моркови
-300 г огурцов
-300 г редьки (зеленой или черной)
-5 ст. л. соевого соуса
-5 ст. л. воды
-3 зубчика чеснока","Куриное филе отварить до готовности (варить около 20 минут после закипания).
Остудить.
Нарезать небольшими кусочками.
Огурец натереть на средней терке.
Перец очистить от семян.
Нарезать кубиками.
Морковь натереть на средней терке.
Редьку натереть на средней терке.
Чеснок мелко порубить.
Приготовить соус: для этого смешать соевый соус, воду, чеснок.
Приятного аппетита!",https://ist.say7.info/img0000/33/33_0192dfq_1625_6hi.jpg,https://www.say7.info/cook/recipe/33.html,"['вода', 'чёрный', 'куриный', 'огурец', 'зелёный', 'перец', 'чеснок', 'филе', 'морковь', 'зубчик', 'соус', 'или', 'болгарский', 'соевый', 'редька']","['зубчик', 'болгарский', 'редька', 'зелёный', 'соевый', 'или', 'куриный', 'чёрный', 'морковь', 'филе', 'перец', 'чеснок', 'соус', 'огурец', 'вода']"
14,Свинина «Ароматная»,"500 г свинины
-350 г яблок
-200 г лука
-горчица (по вкусу)
-перец
-соль
-растительное масло","Лук нарезать полукольцами.
Яблоки почистить.
Удалить сердцевину.
Нарезать дольками.
Лук обжарить на растительном масле.
Добавить яблоки.
Тушить под крышкой в течение 10–15 минут.
Свинину нарезать кусочками толщиной около 1 см.
Отбить.
Посолить, поперчить с двух сторон.
Смазать горчицей.
Лук и яблоки убрать из сковороды.
Выложить мясо.
Жарить до готовности (по 7–8 минут, с каждой стороны).
При подаче на мясо выложить яблоки и лук.
Приятного аппетита!",https://ist.say7.info/img0000/34/34_01467f7_6535_6hi.jpg,https://www.say7.info/cook/recipe/34.html,"['лука', 'яблоко', 'горчица', 'свинин', 'масло', 'вкус', 'растительный', 'по']","['растительный', 'вкус', 'яблоко', 'лука', 'горчица', 'масло', 'по', 'свинин']"
15,Курица под «снегом»,"1 кг куриных бедрышек (или голени)
-соль
-перец
-3 желтка (вареных)
-1 ч.л. горчицы
-3–4 зубчика чеснока
-2 ст.л. растительного масла
-1 ч.л. уксуса 6%
-3 ст.л. сметаны
-соль
-2–3 белка
-соль","Бедрышки выложить в форму для запекания.
Посолить, поперчить.
Поставить в духовку.
Запекать при температуре 180 градусов до готовности (около часа).
Приготовить соус.
Растереть желтки с горчицей.
Добавить выдавленный через чеснокодавку чеснок.
Добавить масло, уксус.
Перемешать.
Добавить сметану.
Немного посолить.
Перемешать.
Смазать соусом курицу.
Поставить в разогретую до 180 градусов духовку.
Запекать в течение 10–15 минут.
Делаем «снег».
Белки взбить со щепоткой соли в крутую пену.
Горячую курицу покрыть «снегом».
Поставить в горячую духовку на 3 минуты.
Приятного аппетита!",https://ist.say7.info/img0000/35/35_0125n9g_0900_6hi.jpg,https://www.say7.info/cook/recipe/35.html,"['бедрышка', 'уксус', 'куриный', 'горчица', 'голень', 'варёный', 'чеснок', 'сметана', 'желток', 'зубчик', 'масло', 'или', 'растительный', 'белок']","['зубчик', 'растительный', 'голень', 'бедрышка', 'или', 'куриный', 'варёный', 'горчица', 'масло', 'чеснок', 'желток', 'сметана', 'уксус', 'белок']"
16,Курица в сыре,"курица
-весом 1–1.5 кг (либо голень
-бедра)
-500 мл сливок (10–15%)
-200 г сыра (твердого)
-0,5 ст. молока
-1 ч.л. крахмала
-панировочные сухари
-растительное масло
-соль
-перец","Курицу, нарезанную на кусочки, обжарить с двух сторон.
Посолить поперчить.
Добавить сливки.
Тушить до готовности (около 25 минут).
Сыр натереть на крупной терке.
Добавить молоко.
Добавить крахмал.
Перемешать.
Обвалять курицу в сырной массе.
Обвалять в панировочных сухарях.
Обжарить на растительном масле до золотистой корочки.
Приятного аппетита!",https://ist.say7.info/img0000/36/36_0186jln_1000_6hi.jpg,https://www.say7.info/cook/recipe/36.html,"['молоко', 'бедро', 'либо', 'вес', 'сливка', 'твёрдый', 'крахмал', 'курица', 'растительный', 'голень', 'панировочный', 'сыр', 'масло', 'сухарь']","['растительный', 'голень', 'сыр', 'бедро', 'сухарь', 'масло', 'крахмал', 'панировочный', 'сливка', 'молоко', 'твёрдый', 'либо', 'вес', 'курица']"
17,Десерт «Ванильный»,"500 г густой сметаны (20%)
-400 мл молока
-150 г сахара
-3 желтка
-палочка ванили или 2 ч.л. ванильного сахара
-25 г желатина (листового или порошка)","Желатин замочить в 150 мл холодной кипяченой воды.
Оставить на то время, которое указано на упаковке.
Молоко подогреть до комнатной температуры.
Желтки растереть с сахаром.
Добавить теплое молоко.
Перемешать.
Поставить массу на водяную баню.
Нагревать, пока масса не начнет густеть (около 30 минут).
Палочку ванили разрезать.
Вынуть семена.
В желтковую массу добавить ваниль (ванильный сахар тоже добавлять на этом этапе).
Добавить желатин.
Нагревать до тех пор, пока желатин не растворится.
Массу снять с огня.
Немного охладить.
После этого желтковую массу смешать со сметаной.
Массу разлить в креманки (или любые подходящие формочки).
Поставить в холодильник на 3–4 часа.
Приятного аппетита!",https://ist.say7.info/img0000/37/37_0139j1j_2979_6hi.jpg,https://www.say7.info/cook/recipe/37.html,"['молоко', 'палочка', 'ванильный', 'листовой', 'сметана', 'желток', 'или', 'порошок', 'ваниль', 'сахар']","['сахар', 'или', 'листовой', 'палочка', 'ваниль', 'желток', 'порошок', 'сметана', 'молоко', 'ванильный']"
18,Жареная рыба под маринадом,"1 кг рыбы (у меня судак)
-мука
-растительное масло
-соль
-перец
-300 г моркови
-250 г лука
-200 г (7 ст.л.) томатной пасты
-150 мл уксуса 3%
-½ ч.л. сахара
-растительное масло
-соль
-перец горошком (5–7 горошин)
-лавровый лист (2–3 листа)
-гвоздика (3–5 штук)","Рыбу почистить.
Нарезать небольшими кусочками.
Посолить, поперчить.
Оставить на 30 минут.
Обвалять в муке.
На растительном масле пожарить с одной стороны (жарить около 7–8 минут).
Перевернуть.
Пожарить с другой стороны (жарить около 7–8 минут).
Выложить рыбу в форму (я использовала форму размером 17×25 см).
Готовим маринад
Лук нарезать полукольцами.
Морковь натереть на средней терке.
Обжарить лук на растительном масле.
Добавить морковь.
Жарить в течение 5 минут.
Добавить томатную пасту.
Жарить в течение 5–7 минут.
Добавить 50 мл воды.
Тушить в течение 5 минут.
Добавить уксус.
Добавить сахар.
Добавить гвоздику, перец, лавровый лист.
Посолить.
Тушить в течение 10 минут.
На рыбу выложить горячий маринад.
Остудить.
Поставить в холодильник на 3–4 часа.
Приятного аппетита!",https://ist.say7.info/img0000/38/38_0170r0f_8812_6hi.jpg,https://www.say7.info/cook/recipe/38.html,"['томатный', 'судак', 'уксус', 'растительный', 'горошина', 'лука', 'лавровый', 'лист', 'гвоздик', 'горошек', 'штука', 'я', 'мука', 'паста', 'морковь', 'масло', 'рыба', 'сахар']","['растительный', 'сахар', 'штука', 'горошек', 'я', 'морковь', 'рыба', 'масло', 'судак', 'лука', 'мука', 'паста', 'горошина', 'лавровый', 'лист', 'гвоздик', 'уксус', 'томатный']"
19,Торт «Песочный»,"200 г сливочного масла
-3 желтка
-100 г сахара
-1 ч.л. разрыхлителя
-300–350 г муки
-600 г вареного сгущенного молока","Желтки растереть с сахаром.
Добавить масло.
Перемешать.
Добавить разрыхлитель, муку.
Замесить тесто.
Тесто разделить на 4 части.
Форму для выпечки (у меня форма размером 15×15 см) смазать маслом или застелить бумагой для выпечки. Выложить тесто толщиной 3–5 мм.
Поставить в разогретую до 180 градусов духовку.
Выпекать в течение 10–15 минут.
Выпечь 4 коржа.
Выпеченный корж смазать сгущенкой.
Накрыть вторым коржом.
Смазать сгущенкой и т.д.
Верх и бока торта также обмазать сгущенкой.
Приятного аппетита!",https://ist.say7.info/img0000/40/40_0155h7c_5541_6hi.jpg,https://www.say7.info/cook/recipe/40.html,"['сгустить', 'молоко', 'сливочный', 'варёный', 'мука', 'желток', 'масло', 'разрыхлитель', 'сахар']","['сахар', 'разрыхлитель', 'варёный', 'масло', 'сгустить', 'желток', 'мука', 'молоко', 'сливочный']"
20,Бутерброды со шпротами,"7 кусочков батона
-1 баночка шпрот (150 г)
-100 г сыра (твердого)","Батон нарезать ломтиками шириной 1 см.
Сыр натереть на мелкой терке.
Кусочки батона выложить в форму для запекания.
Выложить на каждый кусочек 2–3 рыбки.
Посыпать сыром.
Запекать при температуре 180 градусов в течение 15–20 минут.
Готовые бутерброды можно посыпать зеленью.
Приятного аппетита!",https://ist.say7.info/img0000/42/42_01784mw_7099_6hi.jpg,https://www.say7.info/cook/recipe/42.html,"['твёрдый', 'шпрот', 'сыр', 'батон', 'кусочек']","['сыр', 'шпрот', 'батон', 'кусочек', 'твёрдый']"
21,"Куриное филе, фаршированное грибами","500 г куриного филе
-300 г грибов
-150 г лука
-растительное масло
-соль
-перец","Лук мелко нарезать.
Грибы почистить.
Мелко нарезать.
Обжарить лук на растительном масле.
Добавить грибы.
Посолить.
Жарить до тех пор, пока не испарится вся жидкость.
Филе надрезать сбоку (не до конца), чтобы получился «кармашек».
В «кармашек» выложить грибы.
Скрепить зубочистками.
Филе посолить, поперчить.
Жарить на растительном масле около 10 минут с одной стороны.
Перевернуть.
Жарить еще около 10 минут.
Приятного аппетита!",https://ist.say7.info/img0000/43/43_0190ty8_2370_6hi.jpg,https://www.say7.info/cook/recipe/43.html,"['гриб', 'лука', 'куриный', 'филе', 'масло', 'растительный']","['растительный', 'куриный', 'филе', 'лука', 'масло', 'гриб']"
22,Клюквенный мусс,"200 г клюквы
-150–200 г сахара
-60 г манной крупы","Клюкву вымыть.
Отжать сок.
Сок убрать, он нам не понадобится.
Отжимки залить 450 мл воды.
Проварить в течение 10 минут.
Процедить.
В готовый отвар добавить сахар.
Довести до кипения.
Тонкой струйкой всыпать, непрерывно помешивая, манную крупу.
Варить в течение 3–7 минут.
Массу охладить.
Хорошо взбить.
Мусс разлить по креманкам.
Поставить в холодильник на 3–4 часа.
Приятного аппетита!",https://ist.say7.info/img0000/44/44_0143y09_8748_6hi.jpg,https://www.say7.info/cook/recipe/44.html,"['крупа', 'манный', 'клюква', 'сахар']","['клюква', 'сахар', 'манный', 'крупа']"
23,Торт «Муравейник»,"150 г сливочного масла
-2 яйца
-150 мл молока
-2 ч.л. разрыхлителя
-450–500 г муки
-380 г вареного сгущенного молока
-150 г сливочного масла","Готовим тесто
Смешать масло и яйца.
Добавить молоко.
Перемешать.
Добавить разрыхлитель и муку.
Замесить не очень крутое тесто.
Скатать его в шар и положить в холодильник (не в морозилку) на 1 час.
Противень смазать маслом или застелить бумагой для выпечки.
Охлажденное тесто порвать на маленькие кусочки.
Поставить в разогретую до 180 градусов духовку.
Выпекать до золотистого цвета (около 15–20 минут).
У меня получилось 4 противня (таких, как на фото).
Готовим крем
Масло взбить добела.
Добавить сгущенку.
Взбить до получения однородной массы.
Выпеченное тесто перемешать с кремом.
Выложить горкой.
При желании, можно посыпать маком или натертым на мелкой терке шоколадом.
Дать торту пропитаться.
Приятного аппетита!",https://ist.say7.info/img0000/45/45_01264wn_1425_6hi.jpg,https://www.say7.info/cook/recipe/45.html,"['сгустить', 'молоко', 'сливочный', 'варёный', 'яйцо', 'мука', 'масло', 'разрыхлитель']","['яйцо', 'разрыхлитель', 'варёный', 'масло', 'сгустить', 'мука', 'молоко', 'сливочный']"
24,Торт «Сметанный»,"180 г сливочного масла
-150 г сахара
-500 г сметаны
-300–400 г муки
-2 ч.л. разрыхлителя
-500 г сметаны
-150 г сахара
-50 г мака","Масло растереть с сахаром.
Добавить сметану.
Перемешать.
Добавить муку, разрыхлитель.
Замесить не очень крутое тесто.
Разделить тесто на 4–5 частей, каждую часть выложить в смазанную маслом форму (у меня форма диаметром 26 см).
Поставить в разогретую до 180 градусов духовку.
Выпекать в течение 20–25 минут.
Готовим крем
Сметану перемешать с сахаром.
Добавить мак.
Перемешать.
Выпеченный корж смазать кремом.
Накрыть следующим коржом.
Смазать кремом, накрыть коржом и т. д.
Поставить в холодильник на 6–7 часов.
Приятного аппетита!",https://ist.say7.info/img0000/46/46_01766nz_0195_6hi.jpg,https://www.say7.info/cook/recipe/46.html,"['сливочный', 'мак', 'мука', 'сметана', 'масло', 'разрыхлитель', 'сахар']","['сахар', 'разрыхлитель', 'масло', 'мука', 'сметана', 'мак', 'сливочный']"
25,"Шашлык из свинины, маринованный в уксусе","2 кг свинины
-300 г лука
-250 мл уксуса 6% (я использовала яблочный)
-3 ст. л. приправы для шашлыка
-соль","Лук нарезать полукольцами.
Мясо нарезать кубиками.
Перемешать мясо и лук.
Добавить специи, уксус.
Перемешать.
Мариновать в холодном месте минимум 5 часов.
Перед приготовление посолить.
Маринованное мясо плотно нанизать на шампуры.
Жарить над раскаленными углями.
Приятного аппетита!",https://ist.say7.info/img0000/47/47_017178x_0184_6hi.jpg,https://www.say7.info/cook/recipe/47.html,"['уксус', 'лука', 'яблочный', 'свинин', 'шашлык', 'для', 'использовать', 'приправа']","['шашлык', 'использовать', 'яблочный', 'лука', 'для', 'свинин', 'уксус', 'приправа']"
26,"Шашлык из свинины, маринованный в розовом соусе","2 кг свинины
-200 мл кетчупа
-200 мл майонеза
-300 г лука
-3 ст. л. приправы для шашлыка
-соль","Лук нарезать полукольцами.
Мясо нарезать небольшими кусочками.
Перемешать мясо и лук.
Добавить специи.
Перемешать.
Добавить кетчуп, майонез.
Перемешать.
Мариновать в холодном месте 5–7 часов.
Перед приготовление посолить.
Маринованное мясо плотно нанизать на шампуры.
Жарить над раскаленными углями.
Приятного аппетита!",https://ist.say7.info/img0000/48/48_01846j6_0260_6hi.jpg,https://www.say7.info/cook/recipe/48.html,"['лука', 'свинин', 'майонез', 'шашлык', 'кетчуп', 'для', 'приправа']","['шашлык', 'кетчуп', 'лука', 'майонез', 'свинин', 'для', 'приправа']"
27,Кальмары под майонезом,"500 г кальмаров (очищенных)
-300 г лука
-2–3 лавровых листа
-перец черный молотый
-соль
-майонез","Воду довести до кипения.
Положить лавровый лист.
Добавить кальмары.
Кипятить ровно 3 минуты (если кипятить дольше, кальмары станут жесткими и невкусными).
Готовые кальмары вынуть.
В горячую воду из-под кальмаров положить лук на 10–15 минут (это делается для того, чтобы лук стал мягким и не горьким).
Кальмары остудить.
Нарезать соломкой.
Лук нарезать полукольцами.
Смешать кальмары и лук.
Посолить, поперчить.
Заправить майонезом.
Приятного аппетита!",https://ist.say7.info/img0000/49/49_0191ztr_0285_6hi.jpg,https://www.say7.info/cook/recipe/49.html,"['лука', 'лист', 'очистить', 'лавров', 'майонез', 'молотый', 'кальмар']","['лавров', 'кальмар', 'лука', 'очистить', 'лист', 'молотый', 'майонез']"
